Announced/Allocated,Obligated,State,Date
$1719759.67,$1719759.67,WV,31-Aug-24
$14395.60,$14395.60,OK,31-Aug-24
$1602980.74,$1602980.74,NH,31-Aug-24
$8999767.83,$8999767.83,LA,31-Aug-24
$12732894.43,$12732894.43,WI,31-Aug-24
$182908.76,$182908.76,AR,31-Aug-24
$28689651.80,$28689651.80,IL,31-Aug-24
$3000347.25,$3000347.25,LA,31-Aug-24
$2677300.28,$2677300.28,SD,31-Aug-24
$5434433.47,$5434433.47,SC,31-Aug-24
$11072930.44,$11072930.44,NC,31-Aug-24
$42211408.34,$42211408.34,TX,31-Aug-24
$1191446.91,$1191446.91,SD,31-Aug-24
$36751020.67,$36751020.67,FL,31-Aug-24
$17142876.63,$17142876.63,SD,31-Aug-24
$1434602.88,$1434602.88,MS,31-Aug-24
$2911063.50,$2911063.50,TN,31-Aug-24
$22636170.73,$22636170.73,NY,31-Aug-24
$189173898.65,$189173898.65,PR,31-Aug-24
$10662738.22,$10662738.22,VT,31-Aug-24
$942630.91,$942630.91,ND,31-Aug-24
$13838236.10,$13838236.10,TN,31-Aug-24
$3754947.60,$3754947.60,WI,31-Aug-24
$1459560.08,$1459560.08,MS,31-Aug-24
$2123636.46,$2123636.46,SC,31-Aug-24
$4806582.87,$4806582.87,OR,31-Aug-24
$10517892.22,$10517892.22,MS,31-Aug-24
$3409130.48,$3409130.48,MS,31-Aug-24
$9164838.62,$9164838.62,WA,31-Aug-24
$7208631.96,$7208631.96,KY,31-Aug-24
$8104332.66,$8104332.66,TN,31-Aug-24
$9462445.16,$9462445.16,SC,31-Aug-24
$580915.04,$580915.04,NC,31-Aug-24
$334890.62,$334890.62,AR,31-Aug-24
$5319576.63,$5319576.63,AL,31-Aug-24
$19567144.20,$19567144.20,MI,31-Aug-24
$3369438.84,$3369438.84,UT,31-Aug-24
$280797.87,$280797.87,HI,31-Aug-24
$1832511.52,$1832511.52,TN,31-Aug-24
$702102.04,$702102.04,MS,31-Aug-24
$583801.75,$583801.75,MO,31-Aug-24
$1456312.17,$1456312.17,ND,31-Aug-24
$31871.76,$31871.76,AL,31-Aug-24
$614703.93,$614703.93,AL,31-Aug-24
$462170.45,$462170.45,AR,31-Aug-24
$38594796.10,$38594796.10,IA,31-Aug-24
$60537384.06,$60537384.06,CA,31-Aug-24
$542817753.91,$542817753.91,LA,31-Aug-24
$3818878.38,$3818878.38,PR,31-Aug-24
$193220.47,$193220.47,IA,31-Aug-24
$138125485.36,$138125485.36,OR,31-Aug-24
$47089920.12,$47089920.12,AL,31-Aug-24
$59509873.10,$59509873.10,FL,31-Aug-24
$225073.55,$225073.55,ND,31-Aug-24
$852175.74,$852175.74,DE,31-Aug-24
$7536527.60,$7536527.60,NY,31-Aug-24
$3888511.91,$3888511.91,NC,31-Aug-24
$18650463.34,$18650463.34,CA,31-Aug-24
$38910841.98,$38910841.98,LA,31-Aug-24
$1266255.81,$1266255.81,PR,31-Aug-24
$5355911.00,$5355911.00,TX,31-Aug-24
$19460320.59,$19460320.59,AL,31-Aug-24
$7941510.02,$7941510.02,NJ,31-Aug-24
$5612016.02,$5612016.02,OK,31-Aug-24
$17975193.03,$17975193.03,MS,31-Aug-24
$11813028.08,$11813028.08,LA,31-Aug-24
$1377114.09,$1377114.09,UT,31-Aug-24
$3002354.68,$3002354.68,GA,31-Aug-24
$12430131.75,$12430131.75,CT,31-Aug-24
$1407758.42,$1407758.42,CO,31-Aug-24
$594178.79,$594178.79,MD,31-Aug-24
$6158324.42,$6158324.42,WA,31-Aug-24
$4771769.51,$4771769.51,AK,31-Aug-24
$114116543.37,$114116543.37,TX,31-Aug-24
$2561152.05,$2561152.05,OK,31-Aug-24
$2374356.17,$2374356.17,NC,31-Aug-24
$1832647.34,$1832647.34,ID,31-Aug-24
$27535301.99,$27535301.99,LA,31-Aug-24
$4395535.15,$4395535.15,KY,31-Aug-24
$3952218.68,$3952218.68,WA,31-Aug-24
$3657164.44,$3657164.44,TN,31-Aug-24
$18709737.16,$18709737.16,KY,31-Aug-24
$1443714.79,$1443714.79,AL,31-Aug-24
$1718486.12,$1718486.12,NJ,31-Aug-24
$3450820.34,$3450820.34,MS,31-Aug-24
$4508778.45,$4508778.45,OR,31-Aug-24
$5026841.71,$5026841.71,GA,31-Aug-24
$6383712.44,$6383712.44,TN,31-Aug-24
$1846550.12,$1846550.12,VA,31-Aug-24
$713877.02,$713877.02,WV,31-Aug-24
$440436.22,$440436.22,HI,31-Aug-24
$2793449.69,$2793449.69,WV,31-Aug-24
$8629192.88,$8629192.88,LA,31-Aug-24
